,precision,recall,f1-score,support
Aceh_Pintu_Aceh,0.024544179523141654,0.9459459459459459,0.04784688995215311,37.0
Bali_Barong,0.04477611940298507,0.08571428571428572,0.058823529411764705,35.0
DKI_Ondel_Ondel,0.08333333333333333,0.14074074074074075,0.1046831955922865,135.0
Jawa_Timur_Pring,0.0,0.0,0.0,133.0
Kalimantan_Dayak,0.0,0.0,0.0,50.0
Lampung_Gajah,0.0,0.0,0.0,49.0
Madura_Mataketeran,0.0,0.0,0.0,34.0
Maluku_Pala,0.0,0.0,0.0,41.0
NTB_Lumbung,0.0,0.0,0.0,50.0
Papua_Asmat,0.0,0.0,0.0,51.0
Papua_Cendrawasih,0.0,0.0,0.0,41.0
Papua_Tifa,0.0,0.0,0.0,44.0
Sulawesi_Selatan_Lontara,0.0,0.0,0.0,39.0
Sumatera_Barat_Rumah_Minang,0.0,0.0,0.0,37.0
Sumatera_Utara_Boraspati,0.0,0.0,0.0,124.0
batik-bali,0.0,0.0,0.0,48.0
batik-betawi,0.0,0.0,0.0,52.0
batik-celup,0.0,0.0,0.0,48.0
batik-cendrawasih,0.0,0.0,0.0,46.0
batik-ceplok,0.0,0.0,0.0,42.0
batik-ciamis,0.0,0.0,0.0,45.0
batik-garutan,0.0,0.0,0.0,51.0
batik-gentongan,0.0,0.0,0.0,38.0
batik-kawung,0.0,0.0,0.0,38.0
batik-keraton,0.0,0.0,0.0,37.0
batik-lasem,0.0,0.0,0.0,37.0
batik-megamendung,0.0,0.0,0.0,38.0
batik-parang,0.0,0.0,0.0,37.0
batik-pekalongan,0.0,0.0,0.0,38.0
batik-priangan,0.0,0.0,0.0,37.0
batik-sekar,0.0,0.0,0.0,38.0
batik-sidoluhur,0.0,0.0,0.0,37.0
batik-sidomukti,0.0,0.0,0.0,38.0
batik-sogan,0.0,0.0,0.0,38.0
batik-tambal,0.0,0.0,0.0,38.0
accuracy,0.03312027890761186,0.03312027890761186,0.03312027890761186,0.03312027890761186
macro avg,0.004361532350270287,0.03349717064002779,0.006038674713034408,1721.0
weighted avg,0.007975188158896408,0.03312027890761186,0.010436600733643293,1721.0
