,precision,recall,f1-score,support
Aceh_Pintu_Aceh,0.9615384615384616,0.6756756756756757,0.7936507936507936,37.0
Bali_Barong,1.0,0.8285714285714286,0.90625,35.0
batik-bali,0.6832298136645962,0.8148148148148148,0.7432432432432432,135.0
batik-betawi,0.9416666666666667,0.849624060150376,0.8932806324110671,133.0
batik-celup,0.9791666666666666,0.94,0.9591836734693877,50.0
batik-cendrawasih,0.8780487804878049,0.7346938775510204,0.8,49.0
batik-ceplok,0.8928571428571429,0.7352941176470589,0.8064516129032258,34.0
batik-ciamis,1.0,0.5365853658536586,0.6984126984126984,41.0
batik-garutan,0.9333333333333333,0.84,0.8842105263157894,50.0
batik-gentongan,0.85,0.6666666666666666,0.7472527472527473,51.0
batik-kawung,0.8974358974358975,0.8536585365853658,0.875,41.0
batik-keraton,0.9354838709677419,0.6590909090909091,0.7733333333333333,44.0
batik-lasem,0.8275862068965517,0.6153846153846154,0.7058823529411765,39.0
batik-megamendung,0.918918918918919,0.918918918918919,0.918918918918919,37.0
batik-parang,0.8888888888888888,0.967741935483871,0.9266409266409267,124.0
batik-pekalongan,0.5254237288135594,0.6458333333333334,0.5794392523364486,48.0
batik-priangan,0.7407407407407407,0.7692307692307693,0.7547169811320755,52.0
batik-sekar,0.86,0.8958333333333334,0.8775510204081632,48.0
batik-sidoluhur,0.851063829787234,0.8695652173913043,0.8602150537634409,46.0
batik-sidomukti,0.8571428571428571,0.8571428571428571,0.8571428571428571,42.0
batik-sogan,0.9069767441860465,0.8666666666666667,0.8863636363636364,45.0
batik-tambal,0.8392857142857143,0.9215686274509803,0.8785046728971962,51.0
DKI_Ondel_Ondel,0.9047619047619048,1.0,0.95,38.0
Jawa_Timur_Pring,0.8,0.9473684210526315,0.8674698795180723,38.0
Kalimantan_Dayak,1.0,1.0,1.0,37.0
Lampung_Gajah,0.918918918918919,0.918918918918919,0.918918918918919,37.0
Madura_Mataketeran,0.95,1.0,0.9743589743589743,38.0
Maluku_Pala,0.9024390243902439,1.0,0.9487179487179487,37.0
NTB_Lumbung,0.8837209302325582,1.0,0.9382716049382716,38.0
Papua_Asmat,0.972972972972973,0.972972972972973,0.972972972972973,37.0
Papua_Cendrawasih,0.926829268292683,1.0,0.9620253164556962,38.0
Papua_Tifa,0.9736842105263158,1.0,0.9866666666666667,37.0
Sulawesi_Selatan_Lontara,0.8409090909090909,0.9736842105263158,0.9024390243902439,38.0
Sumatera_Barat_Rumah_Minang,0.7169811320754716,1.0,0.8351648351648352,38.0
Sumatera_Utara_Boraspati,0.926829268292683,1.0,0.9620253164556962,38.0
non_batik,1.0,1.0,1.0,40.0
accuracy,0.8648495173197047,0.8648495173197047,0.8648495173197047,0.8648495173197047
macro avg,0.885745416240324,0.8687640625115128,0.8706854553359841,1761.0
weighted avg,0.8745987921476893,0.8648495173197047,0.8637326233259527,1761.0
