,Aceh_Pintu_Aceh,Bali_Barong,batik-bali,batik-betawi,batik-celup,batik-cendrawasih,batik-ceplok,batik-ciamis,batik-garutan,batik-gentongan,batik-kawung,batik-keraton,batik-lasem,batik-megamendung,batik-parang,batik-pekalongan,batik-priangan,batik-sekar,batik-sidoluhur,batik-sidomukti,batik-sogan,batik-tambal,DKI_Ondel_Ondel,Jawa_Timur_Pring,Kalimantan_Dayak,Lampung_Gajah,Madura_Mataketeran,Maluku_Pala,NTB_Lumbung,Papua_Asmat,Papua_Cendrawasih,Papua_Tifa,Sulawesi_Selatan_Lontara,Sumatera_Barat_Rumah_Minang,Sumatera_Utara_Boraspati,non_batik
Aceh_Pintu_Aceh,25,0,2,1,0,0,1,0,0,1,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Bali_Barong,0,29,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
batik-bali,1,0,110,0,0,0,0,0,0,0,2,0,0,0,3,14,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
batik-betawi,0,0,0,113,1,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,2,3,1,0,1,0,1,0,0,1,0,0,4,0,0
batik-celup,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
batik-cendrawasih,0,0,1,0,0,36,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0
batik-ceplok,0,0,1,0,0,1,25,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
batik-ciamis,0,0,3,0,0,0,0,22,0,0,0,0,0,0,0,2,5,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,4,1,0
batik-garutan,0,0,2,1,0,0,0,0,42,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
batik-gentongan,0,0,3,0,0,0,0,0,0,34,0,0,2,2,0,2,1,1,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
batik-kawung,0,0,1,0,0,0,0,0,0,0,35,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
batik-keraton,0,0,11,0,0,0,0,0,0,0,0,29,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
batik-lasem,0,0,2,2,0,1,0,0,0,3,0,0,24,0,0,1,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0
batik-megamendung,0,0,1,0,0,0,0,0,0,1,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
batik-parang,0,0,3,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
batik-pekalongan,0,0,10,0,0,1,0,0,0,0,0,0,0,0,4,31,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
batik-priangan,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,1,40,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
batik-sekar,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
batik-sidoluhur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
batik-sidomukti,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,36,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
batik-sogan,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,39,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
batik-tambal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,47,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DKI_Ondel_Ondel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
Jawa_Timur_Pring,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
Kalimantan_Dayak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0
Lampung_Gajah,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,1,0,0,0,0,0,0,0
Madura_Mataketeran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
Maluku_Pala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0
NTB_Lumbung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0
Papua_Asmat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,36,0,0,0,0,0,0
Papua_Cendrawasih,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0
Papua_Tifa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0
