sample_index,filename,filepath,true_class_id,true_label,keras_pred_id,keras_pred_label,keras_confidence,onnx_pred_id,onnx_pred_label,onnx_confidence,prediction_match,max_abs_diff,mean_abs_diff,cosine_similarity,is_non_batik
1,aug_0_5540.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\Aceh_Pintu_Aceh\aug_0_5540.jpeg,0,Aceh_Pintu_Aceh,0,Aceh_Pintu_Aceh,0.421755,0,Aceh_Pintu_Aceh,0.421755,True,3.129244e-07,3.122674e-08,0.99999994,False
2,aug_0_4721.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\Aceh_Pintu_Aceh\aug_0_4721.jpeg,0,Aceh_Pintu_Aceh,0,Aceh_Pintu_Aceh,0.246903,0,Aceh_Pintu_Aceh,0.246903,True,5.811453e-07,5.223774e-08,0.99999994,False
3,aug_0_1994.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\Aceh_Pintu_Aceh\aug_0_1994.jpeg,0,Aceh_Pintu_Aceh,0,Aceh_Pintu_Aceh,0.513772,0,Aceh_Pintu_Aceh,0.51377,True,2.324581e-06,1.298459e-07,1.0,False
4,aug_0_7877.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\Bali_Barong\aug_0_7877.jpeg,1,Bali_Barong,1,Bali_Barong,0.509087,1,Bali_Barong,0.509085,True,2.145767e-06,1.22028e-07,1.0,False
5,aug_0_4123.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\Bali_Barong\aug_0_4123.jpeg,1,Bali_Barong,1,Bali_Barong,0.999475,1,Bali_Barong,0.999475,True,1.192093e-07,3.376522e-09,0.99999994,False
6,aug_0_7342.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\Bali_Barong\aug_0_7342.jpeg,1,Bali_Barong,1,Bali_Barong,0.84587,1,Bali_Barong,0.84587,True,1.192093e-07,1.16983e-08,0.99999994,False
7,aug_0_7577.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-bali\aug_0_7577.jpeg,2,batik-bali,2,batik-bali,0.838118,2,batik-bali,0.838117,True,1.788139e-07,1.099473e-08,1.0,False
8,aug_0_5635.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-bali\aug_0_5635.jpeg,2,batik-bali,0,Aceh_Pintu_Aceh,0.437296,0,Aceh_Pintu_Aceh,0.437295,True,1.013279e-06,7.294943e-08,0.99999988,False
9,aug_0_8108.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-bali\aug_0_8108.jpeg,2,batik-bali,2,batik-bali,0.370058,2,batik-bali,0.370058,True,4.768372e-07,3.375681e-08,1.00000012,False
10,aug_0_4332.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-betawi\aug_0_4332.jpeg,3,batik-betawi,15,batik-pekalongan,0.580066,15,batik-pekalongan,0.580067,True,4.172325e-07,2.600535e-08,1.0,False
11,aug_0_5765.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-betawi\aug_0_5765.jpeg,3,batik-betawi,33,Sumatera_Barat_Rumah_Minang,0.357365,33,Sumatera_Barat_Rumah_Minang,0.357366,True,5.364418e-07,4.509629e-08,1.0,False
12,aug_0_3149.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-betawi\aug_0_3149.jpeg,3,batik-betawi,3,batik-betawi,0.82829,3,batik-betawi,0.82829,True,2.980232e-07,2.169984e-08,1.0,False
13,aug_0_4053.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-celup\aug_0_4053.jpeg,4,batik-celup,4,batik-celup,0.723158,4,batik-celup,0.723158,True,1.303852e-07,1.57381e-08,1.0,False
14,aug_0_860.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-celup\aug_0_860.jpeg,4,batik-celup,4,batik-celup,0.999568,4,batik-celup,0.999568,True,1.192093e-07,3.324347e-09,1.00000012,False
15,aug_0_6924.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-celup\aug_0_6924.jpeg,4,batik-celup,4,batik-celup,0.997395,4,batik-celup,0.997395,True,1.192093e-07,3.901651e-09,1.0,False
16,aug_0_4272.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-cendrawasih\aug_0_4272.jpeg,5,batik-cendrawasih,5,batik-cendrawasih,0.83723,5,batik-cendrawasih,0.83723,True,2.384186e-07,1.474352e-08,0.99999994,False
