,precision,recall,f1-score,support
Aceh_Pintu_Aceh,1.0,0.40540540540540543,0.5769230769230769,37.0
Bali_Barong,1.0,0.7714285714285715,0.8709677419354839,35.0
DKI_Ondel_Ondel,0.9318181818181818,0.3037037037037037,0.4581005586592179,135.0
Jawa_Timur_Pring,0.9811320754716981,0.39097744360902253,0.5591397849462365,133.0
Kalimantan_Dayak,1.0,0.88,0.9361702127659575,50.0
Lampung_Gajah,0.9285714285714286,0.2653061224489796,0.4126984126984127,49.0
Madura_Mataketeran,0.7857142857142857,0.3235294117647059,0.4583333333333333,34.0
Maluku_Pala,1.0,0.24390243902439024,0.39215686274509803,41.0
NTB_Lumbung,1.0,0.6,0.75,50.0
Papua_Asmat,0.9130434782608695,0.4117647058823529,0.5675675675675675,51.0
Papua_Cendrawasih,0.8292682926829268,0.8292682926829268,0.8292682926829268,41.0
Papua_Tifa,0.8888888888888888,0.5454545454545454,0.676056338028169,44.0
Sulawesi_Selatan_Lontara,1.0,0.2564102564102564,0.40816326530612246,39.0
Sumatera_Barat_Rumah_Minang,0.8095238095238095,0.918918918918919,0.8607594936708861,37.0
Sumatera_Utara_Boraspati,0.904,0.9112903225806451,0.9076305220883534,124.0
batik-bali,0.38095238095238093,0.6666666666666666,0.48484848484848486,48.0
batik-betawi,0.5070422535211268,0.6923076923076923,0.5853658536585366,52.0
batik-celup,0.6964285714285714,0.8125,0.75,48.0
batik-cendrawasih,0.7,0.7608695652173914,0.7291666666666666,46.0
batik-ceplok,0.7083333333333334,0.8095238095238095,0.7555555555555555,42.0
batik-ciamis,0.5166666666666667,0.6888888888888889,0.5904761904761905,45.0
batik-garutan,0.5769230769230769,0.8823529411764706,0.6976744186046512,51.0
batik-gentongan,0.7037037037037037,1.0,0.8260869565217391,38.0
batik-kawung,0.5441176470588235,0.9736842105263158,0.6981132075471698,38.0
batik-keraton,0.9024390243902439,1.0,0.9487179487179487,37.0
batik-lasem,0.775,0.8378378378378378,0.8051948051948052,37.0
batik-megamendung,0.6909090909090909,1.0,0.8172043010752689,38.0
batik-parang,0.4864864864864865,0.972972972972973,0.6486486486486487,37.0
batik-pekalongan,0.72,0.9473684210526315,0.8181818181818182,38.0
batik-priangan,0.9444444444444444,0.918918918918919,0.9315068493150684,37.0
batik-sekar,0.6785714285714286,1.0,0.8085106382978723,38.0
batik-sidoluhur,0.8780487804878049,0.972972972972973,0.9230769230769231,37.0
batik-sidomukti,0.5138888888888888,0.9736842105263158,0.6727272727272727,38.0
batik-sogan,0.3333333333333333,0.9736842105263158,0.4966442953020134,38.0
batik-tambal,0.6666666666666666,1.0,0.8,38.0
accuracy,0.6995932597327136,0.6995932597327136,0.6995932597327136,0.6995932597327136
macro avg,0.7684547491056618,0.7411883845265607,0.6986181799362136,1721.0
weighted avg,0.7941727586546656,0.6995932597327136,0.6842036705586155,1721.0
