class_id,class_name,support,precision,recall,f1_score,correct_predictions,incorrect_predictions,class_accuracy
0,Aceh_Pintu_Aceh,37,1.0,0.40540540540540543,0.5769230769230769,15,22,0.40540540540540543
1,Bali_Barong,35,1.0,0.7714285714285715,0.8709677419354839,27,8,0.7714285714285715
2,batik-bali,135,0.9318181818181818,0.3037037037037037,0.4581005586592179,41,94,0.3037037037037037
3,batik-betawi,133,0.9811320754716981,0.39097744360902253,0.5591397849462365,52,81,0.39097744360902253
4,batik-celup,50,1.0,0.88,0.9361702127659575,44,6,0.88
5,batik-cendrawasih,49,0.9285714285714286,0.2653061224489796,0.4126984126984127,13,36,0.2653061224489796
6,batik-ceplok,34,0.7857142857142857,0.3235294117647059,0.4583333333333333,11,23,0.3235294117647059
7,batik-ciamis,41,1.0,0.24390243902439024,0.39215686274509803,10,31,0.24390243902439024
8,batik-garutan,50,1.0,0.6,0.75,30,20,0.6
9,batik-gentongan,51,0.9130434782608695,0.4117647058823529,0.5675675675675675,21,30,0.4117647058823529
10,batik-kawung,41,0.8292682926829268,0.8292682926829268,0.8292682926829268,34,7,0.8292682926829268
11,batik-keraton,44,0.8888888888888888,0.5454545454545454,0.676056338028169,24,20,0.5454545454545454
12,batik-lasem,39,1.0,0.2564102564102564,0.40816326530612246,10,29,0.2564102564102564
13,batik-megamendung,37,0.8095238095238095,0.918918918918919,0.8607594936708861,34,3,0.918918918918919
14,batik-parang,124,0.904,0.9112903225806451,0.9076305220883534,113,11,0.9112903225806451
15,batik-pekalongan,48,0.38095238095238093,0.6666666666666666,0.48484848484848486,32,16,0.6666666666666666
16,batik-priangan,52,0.5070422535211268,0.6923076923076923,0.5853658536585366,36,16,0.6923076923076923
17,batik-sekar,48,0.6964285714285714,0.8125,0.75,39,9,0.8125
18,batik-sidoluhur,46,0.7,0.7608695652173914,0.7291666666666666,35,11,0.7608695652173914
19,batik-sidomukti,42,0.7083333333333334,0.8095238095238095,0.7555555555555555,34,8,0.8095238095238095
20,batik-sogan,45,0.5166666666666667,0.6888888888888889,0.5904761904761905,31,14,0.6888888888888889
21,batik-tambal,51,0.5769230769230769,0.8823529411764706,0.6976744186046512,45,6,0.8823529411764706
22,DKI_Ondel_Ondel,38,0.7037037037037037,1.0,0.8260869565217391,38,0,1.0
23,Jawa_Timur_Pring,38,0.5441176470588235,0.9736842105263158,0.6981132075471698,37,1,0.9736842105263158
24,Kalimantan_Dayak,37,0.9024390243902439,1.0,0.9487179487179487,37,0,1.0
25,Lampung_Gajah,37,0.775,0.8378378378378378,0.8051948051948052,31,6,0.8378378378378378
26,Madura_Mataketeran,38,0.6909090909090909,1.0,0.8172043010752689,38,0,1.0
27,Maluku_Pala,37,0.4864864864864865,0.972972972972973,0.6486486486486487,36,1,0.972972972972973
28,NTB_Lumbung,38,0.72,0.9473684210526315,0.8181818181818182,36,2,0.9473684210526315
29,Papua_Asmat,37,0.9444444444444444,0.918918918918919,0.9315068493150684,34,3,0.918918918918919
30,Papua_Cendrawasih,38,0.6785714285714286,1.0,0.8085106382978723,38,0,1.0
31,Papua_Tifa,37,0.8780487804878049,0.972972972972973,0.9230769230769231,36,1,0.972972972972973
32,Sulawesi_Selatan_Lontara,38,0.5138888888888888,0.9736842105263158,0.6727272727272727,37,1,0.9736842105263158
33,Sumatera_Barat_Rumah_Minang,38,0.3333333333333333,0.9736842105263158,0.4966442953020134,37,1,0.9736842105263158
34,Sumatera_Utara_Boraspati,38,0.6666666666666666,1.0,0.8,38,0,1.0
