class_name,precision,recall,f1-score,support
Aceh_Pintu_Aceh,1.0,0.7297297297297297,0.84375,37
Bali_Barong,1.0,0.8571428571428571,0.9230769230769231,35
batik-bali,0.695364238410596,0.7777777777777778,0.7342657342657343,135
batik-betawi,0.9344262295081968,0.8571428571428571,0.8941176470588236,133
batik-celup,0.9591836734693877,0.94,0.9494949494949495,50
batik-cendrawasih,0.8947368421052632,0.6938775510204082,0.7816091954022989,49
batik-ceplok,0.9230769230769231,0.7058823529411765,0.8,34
batik-ciamis,1.0,0.5853658536585366,0.7384615384615385,41
batik-garutan,0.9583333333333334,0.92,0.9387755102040817,50
batik-gentongan,0.8823529411764706,0.5882352941176471,0.7058823529411765,51
batik-kawung,0.8604651162790697,0.9024390243902439,0.8809523809523809,41
batik-keraton,0.90625,0.6590909090909091,0.7631578947368421,44
batik-lasem,0.8461538461538461,0.5641025641025641,0.676923076923077,39
batik-megamendung,0.85,0.918918918918919,0.8831168831168831,37
batik-parang,0.875,0.9596774193548387,0.9153846153846154,124
batik-pekalongan,0.5636363636363636,0.6458333333333334,0.6019417475728155,48
batik-priangan,0.75,0.8076923076923077,0.7777777777777778,52
batik-sekar,0.9,0.9375,0.9183673469387755,48
batik-sidoluhur,0.8444444444444444,0.8260869565217391,0.8351648351648352,46
batik-sidomukti,0.875,0.8333333333333334,0.8536585365853658,42
batik-sogan,0.7090909090909091,0.8666666666666667,0.78,45
batik-tambal,0.7230769230769231,0.9215686274509803,0.8103448275862069,51
DKI_Ondel_Ondel,0.8636363636363636,1.0,0.926829268292683,38
Jawa_Timur_Pring,0.8571428571428571,0.9473684210526315,0.9,38
Kalimantan_Dayak,1.0,1.0,1.0,37
Lampung_Gajah,0.9722222222222222,0.9459459459459459,0.958904109589041,37
Madura_Mataketeran,0.9743589743589743,1.0,0.987012987012987,38
Maluku_Pala,0.8043478260869565,1.0,0.891566265060241,37
NTB_Lumbung,0.9047619047619048,1.0,0.95,38
Papua_Asmat,1.0,1.0,1.0,37
Papua_Cendrawasih,0.925,0.9736842105263158,0.9487179487179487,38
Papua_Tifa,0.9736842105263158,1.0,0.9866666666666667,37
Sulawesi_Selatan_Lontara,0.9024390243902439,0.9736842105263158,0.9367088607594937,38
Sumatera_Barat_Rumah_Minang,0.8222222222222222,0.9736842105263158,0.891566265060241,38
Sumatera_Utara_Boraspati,0.9047619047619048,1.0,0.95,38
