true_class,predicted_class,count,true_class_support,error_rate_in_class
batik-bali,batik-pekalongan,14,135,0.1037037037037037
batik-pekalongan,batik-bali,9,48,0.1875
batik-keraton,batik-bali,8,44,0.18181818181818182
batik-gentongan,batik-bali,6,51,0.11764705882352941
batik-ciamis,batik-priangan,5,41,0.12195121951219512
batik-bali,batik-parang,5,135,0.037037037037037035
batik-ceplok,batik-tambal,4,34,0.11764705882352941
batik-lasem,batik-tambal,4,39,0.10256410256410256
batik-pekalongan,batik-parang,4,48,0.08333333333333333
batik-betawi,DKI_Ondel_Ondel,4,133,0.03007518796992481
batik-bali,batik-kawung,3,135,0.022222222222222223
batik-betawi,batik-pekalongan,3,133,0.022556390977443608
batik-lasem,batik-pekalongan,3,39,0.07692307692307693
batik-parang,batik-sogan,3,124,0.024193548387096774
Bali_Barong,batik-bali,3,35,0.08571428571428572
batik-ciamis,batik-bali,3,41,0.07317073170731707
batik-betawi,batik-tambal,3,133,0.022556390977443608
batik-kawung,batik-parang,3,41,0.07317073170731707
batik-bali,Maluku_Pala,3,135,0.022222222222222223
batik-gentongan,batik-megamendung,3,51,0.058823529411764705
batik-tambal,batik-sogan,3,51,0.058823529411764705
batik-ciamis,Sumatera_Barat_Rumah_Minang,3,41,0.07317073170731707
batik-cendrawasih,batik-bali,3,49,0.061224489795918366
Aceh_Pintu_Aceh,batik-betawi,2,37,0.05405405405405406
batik-gentongan,batik-sekar,2,51,0.0392156862745098
batik-lasem,batik-gentongan,2,39,0.05128205128205128
batik-gentongan,batik-lasem,2,51,0.0392156862745098
batik-sogan,batik-sidoluhur,2,45,0.044444444444444446
batik-keraton,batik-megamendung,2,44,0.045454545454545456
batik-lasem,batik-bali,2,39,0.05128205128205128
batik-lasem,batik-betawi,2,39,0.05128205128205128
Jawa_Timur_Pring,batik-cendrawasih,2,38,0.05263157894736842
batik-megamendung,batik-bali,2,37,0.05405405405405406
batik-sogan,batik-bali,2,45,0.044444444444444446
batik-sidoluhur,Sulawesi_Selatan_Lontara,2,46,0.043478260869565216
batik-parang,batik-bali,2,124,0.016129032258064516
batik-sidomukti,Jawa_Timur_Pring,2,42,0.047619047619047616
batik-pekalongan,batik-priangan,2,48,0.041666666666666664
batik-pekalongan,Sumatera_Utara_Boraspati,2,48,0.041666666666666664
batik-priangan,batik-bali,2,52,0.038461538461538464
batik-priangan,batik-sogan,2,52,0.038461538461538464
batik-sidoluhur,batik-parang,2,46,0.043478260869565216
batik-sidomukti,batik-sidoluhur,2,42,0.047619047619047616
batik-sidomukti,batik-keraton,2,42,0.047619047619047616
batik-sidoluhur,batik-sogan,2,46,0.043478260869565216
Aceh_Pintu_Aceh,batik-bali,2,37,0.05405405405405406
batik-gentongan,batik-pekalongan,2,51,0.0392156862745098
batik-betawi,Sumatera_Barat_Rumah_Minang,2,133,0.015037593984962405
batik-betawi,Maluku_Pala,2,133,0.015037593984962405
batik-cendrawasih,batik-sogan,2,49,0.04081632653061224
batik-cendrawasih,Papua_Cendrawasih,2,49,0.04081632653061224
batik-cendrawasih,batik-sekar,2,49,0.04081632653061224
Aceh_Pintu_Aceh,batik-lasem,2,37,0.05405405405405406
batik-bali,batik-sidomukti,2,135,0.014814814814814815
batik-ceplok,batik-kawung,2,34,0.058823529411764705
batik-priangan,batik-tambal,1,52,0.019230769230769232
batik-sekar,batik-garutan,1,48,0.020833333333333332
batik-sekar,batik-betawi,1,48,0.020833333333333332
batik-priangan,Sumatera_Barat_Rumah_Minang,1,52,0.019230769230769232
batik-priangan,Maluku_Pala,1,52,0.019230769230769232
batik-priangan,Jawa_Timur_Pring,1,52,0.019230769230769232
batik-priangan,batik-sidoluhur,1,52,0.019230769230769232
batik-bali,batik-priangan,1,135,0.007407407407407408
batik-priangan,batik-garutan,1,52,0.019230769230769232
batik-betawi,batik-celup,1,133,0.007518796992481203
batik-betawi,batik-gentongan,1,133,0.007518796992481203
batik-betawi,batik-priangan,1,133,0.007518796992481203
batik-betawi,Jawa_Timur_Pring,1,133,0.007518796992481203
batik-betawi,NTB_Lumbung,1,133,0.007518796992481203
batik-sekar,batik-tambal,1,48,0.020833333333333332
batik-ceplok,Sumatera_Utara_Boraspati,1,34,0.029411764705882353
batik-sidoluhur,batik-sidomukti,1,46,0.021739130434782608
batik-sogan,Sulawesi_Selatan_Lontara,1,45,0.022222222222222223
Sulawesi_Selatan_Lontara,batik-priangan,1,38,0.02631578947368421
