True_Class,Predicted_Class,Count
batik-bali,batik-pekalongan,30
batik-betawi,DKI_Ondel_Ondel,14
batik-betawi,Sumatera_Barat_Rumah_Minang,13
batik-bali,Maluku_Pala,10
batik-betawi,batik-pekalongan,9
batik-ciamis,Sumatera_Barat_Rumah_Minang,9
batik-betawi,Maluku_Pala,9
batik-cendrawasih,Papua_Cendrawasih,8
batik-bali,batik-priangan,8
batik-betawi,Jawa_Timur_Pring,7
batik-sogan,Sulawesi_Selatan_Lontara,7
Aceh_Pintu_Aceh,Sumatera_Barat_Rumah_Minang,6
batik-betawi,batik-priangan,6
batik-ceplok,batik-tambal,6
batik-bali,Sumatera_Barat_Rumah_Minang,6
batik-bali,Madura_Mataketeran,6
batik-bali,batik-sogan,6
batik-cendrawasih,Jawa_Timur_Pring,5
batik-bali,batik-parang,5
batik-ciamis,batik-priangan,5
batik-betawi,NTB_Lumbung,5
batik-ceplok,batik-sekar,5
batik-lasem,Sumatera_Barat_Rumah_Minang,5
batik-gentongan,batik-priangan,5
batik-gentongan,Jawa_Timur_Pring,5
batik-keraton,Sumatera_Barat_Rumah_Minang,5
batik-lasem,batik-pekalongan,5
batik-lasem,batik-tambal,4
batik-gentongan,Sumatera_Barat_Rumah_Minang,4
batik-sekar,Sulawesi_Selatan_Lontara,4
batik-bali,Papua_Cendrawasih,4
batik-sidoluhur,Sulawesi_Selatan_Lontara,4
Aceh_Pintu_Aceh,Maluku_Pala,4
batik-garutan,Sumatera_Barat_Rumah_Minang,4
batik-ciamis,batik-tambal,4
batik-cendrawasih,batik-tambal,4
batik-bali,batik-kawung,4
batik-priangan,Sulawesi_Selatan_Lontara,4
batik-cendrawasih,batik-sogan,4
batik-betawi,Lampung_Gajah,4
batik-garutan,batik-sidoluhur,3
batik-keraton,batik-tambal,3
batik-lasem,Madura_Mataketeran,3
batik-parang,batik-sogan,3
batik-keraton,batik-megamendung,3
batik-cendrawasih,Sulawesi_Selatan_Lontara,3
batik-lasem,Sulawesi_Selatan_Lontara,3
batik-parang,Sumatera_Barat_Rumah_Minang,3
batik-pekalongan,batik-parang,3
batik-pekalongan,Maluku_Pala,3
batik-ceplok,Sumatera_Utara_Boraspati,3
batik-gentongan,batik-sidomukti,3
batik-pekalongan,Sumatera_Utara_Boraspati,3
batik-ciamis,Maluku_Pala,3
batik-cendrawasih,batik-sekar,3
batik-garutan,batik-priangan,3
batik-cendrawasih,batik-sidomukti,3
batik-gentongan,batik-megamendung,3
batik-bali,Jawa_Timur_Pring,3
batik-sogan,batik-sidoluhur,3
batik-ciamis,Jawa_Timur_Pring,2
batik-priangan,batik-sogan,2
batik-ciamis,Madura_Mataketeran,2
batik-tambal,batik-sogan,2
batik-priangan,Sumatera_Barat_Rumah_Minang,2
batik-ciamis,Sumatera_Utara_Boraspati,2
batik-bali,batik-sidomukti,2
batik-bali,batik-sekar,2
batik-bali,batik-megamendung,2
batik-priangan,Maluku_Pala,2
batik-priangan,Jawa_Timur_Pring,2
batik-celup,Sumatera_Barat_Rumah_Minang,2
batik-garutan,Papua_Tifa,2
Aceh_Pintu_Aceh,NTB_Lumbung,2
batik-garutan,Sulawesi_Selatan_Lontara,2
NTB_Lumbung,Sumatera_Barat_Rumah_Minang,2
batik-priangan,batik-sidoluhur,2
batik-gentongan,batik-pekalongan,2
batik-gentongan,batik-sekar,2
batik-keraton,batik-bali,2
batik-pekalongan,batik-priangan,2
batik-pekalongan,batik-sogan,2
batik-kawung,batik-sogan,2
batik-gentongan,Madura_Mataketeran,2
batik-kawung,batik-parang,2
Lampung_Gajah,Sumatera_Barat_Rumah_Minang,2
batik-betawi,batik-sekar,2
batik-sidomukti,Sumatera_Barat_Rumah_Minang,2
batik-megamendung,Sumatera_Barat_Rumah_Minang,2
Aceh_Pintu_Aceh,batik-pekalongan,2
batik-betawi,batik-tambal,2
batik-betawi,batik-sogan,2
batik-lasem,Maluku_Pala,2
batik-bali,NTB_Lumbung,2
batik-sidoluhur,batik-tambal,2
batik-sidoluhur,batik-sidomukti,2
batik-betawi,Papua_Cendrawasih,2
batik-sidomukti,Jawa_Timur_Pring,2
Aceh_Pintu_Aceh,batik-tambal,2
batik-parang,Papua_Asmat,2
batik-ceplok,NTB_Lumbung,2
batik-ceplok,Sulawesi_Selatan_Lontara,2
Papua_Asmat,Sumatera_Barat_Rumah_Minang,2
batik-keraton,Lampung_Gajah,2
batik-sekar,batik-tambal,2
batik-lasem,Sumatera_Utara_Boraspati,1
batik-pekalongan,Jawa_Timur_Pring,1
batik-parang,Sulawesi_Selatan_Lontara,1
batik-parang,batik-sidomukti,1
Maluku_Pala,DKI_Ondel_Ondel,1
Sulawesi_Selatan_Lontara,batik-priangan,1
batik-megamendung,Sumatera_Utara_Boraspati,1
Papua_Tifa,Sulawesi_Selatan_Lontara,1
batik-parang,Sumatera_Utara_Boraspati,1
Papua_Asmat,Papua_Tifa,1
batik-sidomukti,Madura_Mataketeran,1
batik-priangan,batik-tambal,1
Lampung_Gajah,Sumatera_Utara_Boraspati,1
batik-tambal,batik-sekar,1
batik-sidomukti,Sumatera_Utara_Boraspati,1
batik-sogan,batik-bali,1
batik-sidomukti,batik-sidoluhur,1
batik-sogan,batik-parang,1
batik-sidomukti,batik-ceplok,1
batik-sogan,Maluku_Pala,1
batik-sidoluhur,Kalimantan_Dayak,1
batik-sidoluhur,batik-ceplok,1
batik-sogan,Sumatera_Utara_Boraspati,1
batik-sekar,Sumatera_Utara_Boraspati,1
batik-tambal,batik-sidoluhur,1
batik-pekalongan,Papua_Cendrawasih,1
batik-sekar,batik-priangan,1
batik-tambal,batik-sidomukti,1
batik-sekar,batik-betawi,1
batik-priangan,NTB_Lumbung,1
batik-tambal,Sulawesi_Selatan_Lontara,1
Jawa_Timur_Pring,batik-cendrawasih,1
Lampung_Gajah,NTB_Lumbung,1
Lampung_Gajah,Papua_Tifa,1
batik-pekalongan,Sumatera_Barat_Rumah_Minang,1
Lampung_Gajah,Sulawesi_Selatan_Lontara,1
batik-sidoluhur,Madura_Mataketeran,1
Aceh_Pintu_Aceh,batik-ceplok,1
batik-lasem,Papua_Cendrawasih,1
batik-bali,Papua_Tifa,1
batik-cendrawasih,Maluku_Pala,1
batik-cendrawasih,Madura_Mataketeran,1
batik-cendrawasih,DKI_Ondel_Ondel,1
batik-cendrawasih,batik-pekalongan,1
batik-celup,Sulawesi_Selatan_Lontara,1
batik-celup,Maluku_Pala,1
batik-celup,batik-tambal,1
batik-celup,batik-sogan,1
batik-betawi,Madura_Mataketeran,1
batik-betawi,Kalimantan_Dayak,1
batik-betawi,batik-sidomukti,1
batik-betawi,batik-sidoluhur,1
batik-betawi,batik-keraton,1
batik-betawi,batik-gentongan,1
batik-bali,Lampung_Gajah,1
batik-cendrawasih,Sumatera_Utara_Boraspati,1
batik-bali,Kalimantan_Dayak,1
batik-bali,batik-keraton,1
Bali_Barong,Sumatera_Barat_Rumah_Minang,1
Bali_Barong,Papua_Cendrawasih,1
Bali_Barong,batik-tambal,1
Bali_Barong,batik-sogan,1
Bali_Barong,batik-pekalongan,1
Bali_Barong,batik-parang,1
Bali_Barong,batik-keraton,1
Bali_Barong,batik-kawung,1
Aceh_Pintu_Aceh,Sumatera_Utara_Boraspati,1
Aceh_Pintu_Aceh,Kalimantan_Dayak,1
Aceh_Pintu_Aceh,batik-sekar,1
Aceh_Pintu_Aceh,batik-priangan,1
batik-cendrawasih,Sumatera_Barat_Rumah_Minang,1
batik-ceplok,batik-kawung,1
batik-lasem,Lampung_Gajah,1
batik-gentongan,batik-sogan,1
batik-lasem,Jawa_Timur_Pring,1
batik-lasem,batik-sidomukti,1
batik-lasem,batik-sidoluhur,1
batik-lasem,batik-priangan,1
batik-keraton,Sumatera_Utara_Boraspati,1
batik-keraton,Jawa_Timur_Pring,1
batik-keraton,batik-sogan,1
batik-keraton,batik-sidoluhur,1
batik-keraton,batik-priangan,1
batik-kawung,Sumatera_Barat_Rumah_Minang,1
batik-kawung,batik-tambal,1
batik-kawung,batik-sidoluhur,1
batik-gentongan,Sumatera_Utara_Boraspati,1
batik-gentongan,Maluku_Pala,1
batik-gentongan,batik-sidoluhur,1
batik-ceplok,batik-pekalongan,1
Aceh_Pintu_Aceh,batik-gentongan,1
batik-garutan,NTB_Lumbung,1
batik-garutan,Maluku_Pala,1
batik-garutan,Jawa_Timur_Pring,1
batik-garutan,batik-sogan,1
batik-garutan,batik-sekar,1
batik-garutan,batik-pekalongan,1
batik-ciamis,Sulawesi_Selatan_Lontara,1
batik-ciamis,Papua_Cendrawasih,1
batik-ciamis,batik-sogan,1
batik-ciamis,batik-kawung,1
batik-ceplok,Sumatera_Barat_Rumah_Minang,1
batik-ceplok,Lampung_Gajah,1
batik-ceplok,batik-priangan,1
Sumatera_Barat_Rumah_Minang,Jawa_Timur_Pring,1
